   1.2532093e+01   1.2525507e+01   7.5097756e+00   6.8496985e+00
   9.6993464e+00   1.2214684e+01   1.1109153e+01   3.3578133e+00
   9.5706202e+00   1.1470188e+01   8.1469813e+00   3.5565508e+00
   9.7298421e+00   1.1743854e+01   7.5490024e+00   5.6903089e+00
   1.0541053e+01   1.1434662e+01   9.5421221e+00   3.6569272e+00
   1.1865175e+01   1.1417249e+01   1.0403523e+01   3.8340036e+00
   1.0192199e+01   1.2292089e+01   7.6436746e+00   5.1651712e+00
   1.1689334e+01   1.2220231e+01   7.6312201e+00   3.3462568e+00
   1.0712465e+01   1.1495108e+01   7.2472318e+00   3.8694326e+00
   9.6423377e+00   1.1728619e+01   9.5130712e+00   4.6996158e+00
   9.8505369e+00   1.2041837e+01   7.3908494e+00   4.7462978e+00
   9.9868721e+00   1.2319541e+01   8.1352230e+00   3.7342775e+00
   1.1842760e+01   1.3232172e+01   7.6434906e+00   3.2524162e+00
   1.0650353e+01   1.1716745e+01   8.0096486e+00   3.5307313e+00
   9.8033425e+00   1.3141876e+01   7.7212765e+00   3.2222269e+00
   9.5469497e+00   1.1529443e+01   8.4453059e+00   3.3954815e+00
   1.0051278e+01   1.1836114e+01   7.6531951e+00   3.6477388e+00
   1.0214825e+01   1.2362723e+01   9.7989049e+00   4.0181752e+00
   1.0176017e+01   1.3550863e+01   1.0929565e+01   5.3816911e+00
   9.7560585e+00   1.1776361e+01   7.4556699e+00   3.5625787e+00
   1.0530031e+01   1.1415218e+01   7.4641713e+00   4.7308930e+00
   9.5472718e+00   1.2638969e+01   7.8531116e+00   4.5790037e+00
   1.1803570e+01   1.2621710e+01   7.1972160e+00   3.3501798e+00
   9.7290157e+00   1.1981225e+01   8.2289944e+00   4.4195786e+00
   1.0267392e+01   1.1821871e+01   7.3753724e+00   3.5364650e+00
   1.0831051e+01   1.2345724e+01   7.2089417e+00   3.6628293e+00
   9.6808116e+00   1.2485697e+01   7.6044764e+00   4.3755437e+00
   1.0606705e+01   1.1415322e+01   7.9519464e+00   3.9988771e+00
   9.9918025e+00   1.1740936e+01   7.7566663e+00   3.6078665e+00
   9.5819652e+00   1.2368645e+01   7.2137801e+00   3.4565707e+00
   1.0012680e+01   1.3550529e+01   7.2451498e+00   3.1834871e+00
   1.0236704e+01   1.1637778e+01   8.7209971e+00   3.7430980e+00
   9.6367717e+00   1.1714272e+01   7.1068374e+00   3.4528853e+00
   1.0936702e+01   1.3299159e+01   7.2761106e+00   3.5148365e+00
   1.0870167e+01   1.1545877e+01   8.3031820e+00   3.5372516e+00
